code	parent	level	unit	name
29452	848	3	xã	Hiệp Mỹ Đông
29455	848	3	xã	Hiệp Mỹ Tây
29458	848	3	xã	Thạnh Hòa Sơn
849	84	2	huyện	Trà Cú
29461	849	3	thị trấn	Trà Cú
29462	849	3	thị trấn	Định An
29464	849	3	xã	Phước Hưng
29467	849	3	xã	Tập Sơn
29470	849	3	xã	Tân Sơn
29473	849	3	xã	An Quảng Hữu
29476	849	3	xã	Lưu Nghiệp Anh
29479	849	3	xã	Ngãi Xuyên
29482	849	3	xã	Kim Sơn
29485	849	3	xã	Thanh Sơn
29488	849	3	xã	Hàm Giang
29489	849	3	xã	Hàm Tân
29491	849	3	xã	Đại An
29494	849	3	xã	Định An
29503	849	3	xã	Ngọc Biên
29506	849	3	xã	Long Hiệp
29509	849	3	xã	Tân Hiệp
850	84	2	huyện	Duyên Hải
29497	850	3	xã	Đôn Xuân
29500	850	3	xã	Đôn Châu
29513	850	3	thị trấn	Long Thành
29521	850	3	xã	Long Khánh
29530	850	3	xã	Ngũ Lạc
29533	850	3	xã	Long Vĩnh
29536	850	3	xã	Đông Hải
851	84	2	thị xã	Duyên Hải
29512	851	3	phường	1
29515	851	3	xã	Long Toàn
29516	851	3	phường	2
29518	851	3	xã	Long Hữu
29524	851	3	xã	Dân Thành
29527	851	3	xã	Trường Long Hòa
29539	851	3	xã	Hiệp Thạnh
86		1	tỉnh	Vĩnh Long
855	86	2	thành phố	Vĩnh Long
29542	855	3	phường	9
29545	855	3	phường	5
29551	855	3	phường	1
29554	855	3	phường	4
29557	855	3	phường	3
29560	855	3	phường	8
29563	855	3	phường	Tân Ngãi
29566	855	3	phường	Tân Hòa
29569	855	3	phường	Tân Hội
29572	855	3	phường	Trường An
857	86	2	huyện	Long Hồ
29578	857	3	xã	Đồng Phú
29581	857	3	xã	Bình Hòa Phước
29584	857	3	xã	Hòa Ninh
29587	857	3	xã	An Bình
29590	857	3	xã	Thanh Đức
29593	857	3	xã	Tân Hạnh
29596	857	3	xã	Phước Hậu
29599	857	3	xã	Long Phước
29602	857	3	thị trấn	Long Hồ
29605	857	3	xã	Lộc Hòa
29608	857	3	xã	Long An
29611	857	3	xã	Phú Quới
29614	857	3	xã	Thạnh Quới
29617	857	3	xã	Hòa Phú
858	86	2	huyện	Mang Thít
29623	858	3	xã	Mỹ An
29626	858	3	xã	Mỹ Phước
29629	858	3	xã	An Phước
29632	858	3	xã	Nhơn Phú
29635	858	3	xã	Long Mỹ
29638	858	3	xã	Hòa Tịnh
29641	858	3	thị trấn	Cái Nhum
29644	858	3	xã	Bình Phước
29647	858	3	xã	Chánh An
29650	858	3	xã	Tân An Hội
29653	858	3	xã	Tân Long
29656	858	3	xã	Tân Long Hội
859	86	2	huyện	 Vũng Liêm
29659	859	3	thị trấn	Vũng Liêm
29662	859	3	xã	Tân Quới Trung
29665	859	3	xã	Quới Thiện
29668	859	3	xã	Quới An
29671	859	3	xã	Trung Chánh
29674	859	3	xã	Tân An Luông
29677	859	3	xã	Thanh Bình
29680	859	3	xã	Trung Thành Tây
29683	859	3	xã	Trung Hiệp
29686	859	3	xã	Hiếu Phụng
29689	859	3	xã	Trung Thành Đông
29692	859	3	xã	Trung Thành
29695	859	3	xã	Trung Hiếu
29698	859	3	xã	Trung Ngãi
29701	859	3	xã	Hiếu Thuận
29704	859	3	xã	Trung Nghĩa
29707	859	3	xã	Trung An
29710	859	3	xã	Hiếu Nhơn
29713	859	3	xã	Hiếu Thành
29716	859	3	xã	Hiếu Nghĩa
860	86	2	huyện	Tam Bình
29719	860	3	thị trấn	Tam Bình
29722	860	3	xã	Tân Lộc
29725	860	3	xã	Phú Thịnh
29728	860	3	xã	Hậu Lộc
29731	860	3	xã	Hòa Thạnh
29734	860	3	xã	Hoà Lộc
29737	860	3	xã	Phú Lộc
29740	860	3	xã	Song Phú
29743	860	3	xã	Hòa Hiệp
29746	860	3	xã	Mỹ Lộc
29749	860	3	xã	Tân Phú
29752	860	3	xã	Long Phú
29755	860	3	xã	Mỹ Thạnh Trung
29761	860	3	xã	Loan Mỹ
29764	860	3	xã	Ngãi Tứ
29767	860	3	xã	Bình Ninh
861	86	2	thị xã	Bình Minh
29770	861	3	phường	Cái Vồn
29771	861	3	phường	Thành Phước
29806	861	3	xã	Thuận An
29809	861	3	xã	Đông Thạnh
29812	861	3	xã	Đông Bình
29813	861	3	phường	Đông Thuận
29815	861	3	xã	Mỹ Hòa
29818	861	3	xã	Đông Thành
862	86	2	huyện	Trà Ôn
29821	862	3	thị trấn	Trà Ôn
29824	862	3	xã	Xuân Hiệp
29827	862	3	xã	Nhơn Bình
29830	862	3	xã	Hòa Bình
29833	862	3	xã	Thới Hòa
29836	862	3	xã	Trà Côn
29839	862	3	xã	Tân Mỹ
29842	862	3	xã	Hựu Thành
29845	862	3	xã	Vĩnh Xuân
29848	862	3	xã	Thuận Thới
29851	862	3	xã	Phú Thành
29857	862	3	xã	Lục Sỹ Thành
29860	862	3	xã	Tích Thiện
863	86	2	huyện	Bình Tân
29776	863	3	xã	Tân Thành
29779	863	3	xã	Thành Trung
29782	863	3	xã	Tân An Thạnh
29785	863	3	xã	Tân Lược
29788	863	3	xã	Nguyễn Văn Thảnh
29791	863	3	xã	Thành Lợi
29794	863	3	xã	Mỹ Thuận
29797	863	3	xã	Tân Bình
29800	863	3	thị trấn	Tân Quới
87		1	tỉnh	Đồng Tháp
866	87	2	thành phố	Cao Lãnh
29869	866	3	phường	1
29872	866	3	phường	4
29875	866	3	phường	3
29878	866	3	phường	6
29881	866	3	phường	Mỹ Ngãi
29884	866	3	xã	Mỹ Tân
29887	866	3	xã	Mỹ Trà
29888	866	3	phường	Mỹ Phú
29890	866	3	xã	Tân Thuận Tây
29892	866	3	phường	Hoà Thuận
29893	866	3	xã	Hòa An
29896	866	3	xã	Tân Thuận Đông
29899	866	3	xã	Tịnh Thới
867	87	2	thành phố	Sa Đéc
29902	867	3	phường	3
29905	867	3	phường	1
29908	867	3	phường	4
29911	867	3	phường	2
29914	867	3	xã	Tân Khánh Đông
29917	867	3	phường	Tân Quy Đông
29919	867	3	phường	An Hoà
29920	867	3	xã	Tân Quy Tây
29923	867	3	xã	Tân Phú Đông
868	87	2	thành phố	Hồng Ngự
29954	868	3	phường	An Lộc
29955	868	3	phường	An Thạnh
29959	868	3	xã	Bình Thạnh
29965	868	3	xã	Tân Hội
29978	868	3	phường	An Lạc
29986	868	3	phường	An Bình B
29989	868	3	phường	An Bình A
869	87	2	huyện	Tân Hồng
